label,data
brx,Toma table ni gahayao gaoni glasses nagirgasinw
brx,Tom aa kajwna kangraniprai takumadwng
brx,मोसरोम
brx,बेखौ माव
brx,थाब फै/गोखरै फै
brx,थेदै नायनि फै।
brx,थेमा नायनि फै।
cym,Mae'r car yn las.
cym,Rwyt ti'n fy neall i.
cym,Dych chi'n fy neall i.
cym,Dw i'n hoffi Hokkaido.
cym,Dw i'n hoffi siarad Cymraeg.
cym,Dw i'n hoffi coffi.
cym,Cafodd hi ei geni yn America.
cym,Mae e'n dod o Gymru.
cym,Atgyfododd Crist!
hin,मैं सोचता था कि तुम दोनो में बहुत सी बातें एक दुसरे से मिलती जुलती होगी।
hin,आपका शुभ नाम क्या है?
hin,जवाहरलाल नेहरू भारत के पहले प्रधान मंत्री थे।
hin,राजेंद्र प्रसाद भारत के पहले राष्ट्रपति थे।
hin,जल्दी कीजिए।
hin,मुझे तुमसे प्यार है।
hin,आस्ट्रेलिया में अंग्रेजी बोली जाती है।
hin,फ्रेंच फ्रांस में अौर इटली के कुछ हिस्सो में बोली जाती है।
hin,फ्रेंच इटली के कुछ हिस्सो में अौर फ्रांस में बोली जाती है।
nav,Abeʼ yistiní nisin.
nav,Ha'át'íísh baa da'íínółta?
nav,Ha'át'íísh yíhooł'aah?
nav,Bilagáana bizaad yíhooł'aah.
nav,Shá háchį'.
nav,Chidí éí łitso.
nav,T'óok bikéyahdę́ę́ naashá.
nav,Chidí binaashnish.
nav,Yá'ánísht'ééh!
urh,Ophra na obenu.
avk,Toklize blayak koe neva tigir ?
avk,Siputé.
avk,Me grulojbanavú.
avk,"Vay, lovion ropulvil ?"
avk,Tokote ko divexo lapil ?
avk,Tanon safteon pujé.
avk,Ko elpatxe jontikviele laní.
avk,Bill ko gerd jontikviele lanir.
avk,Ko bema kotviele laní.
lug,Tukyabanga ebintu byaffe bingi.
lug,Teri atukiridde.
orv,Свои къ своѥмоу по своѥ.
orv,Пѧть и триѥ єста осмь.
orv,Тъ пьсъ скочилъ.
orv,Тъ пьсъ скакалъ.
orv,Сь пьсъ рискалъ.
orv,Сь пьсъ выскочилъ.
orv,Охабила сѧ єго о иномь мѫжи.
orv,Ѿвьрже сѧ єго про инъ мѫжь.
orv,Мѫжь ми въ вѣкъ чьтеть на ложи.
smo,ʻOu te lē fia alu i le āʻoga.
smo,Na ʻou fia alu.
smo,Tai lava!
smo,Ou te alofa ia te oe.
smo,Ia manuia lau malaga!
smo,Sa'o.
smo,Sa'o!
smo,Sesē.
smo,Sesē!
tvl,Sei se tamaflne ngali pela.
tvl,Ko Tom tona ingoa.
tvl,Koe e fano ki fea?
tvl,E 'lei mea katoa?
tvl,E 'lei mea katoa!
tvl,Tokofla tino?
tvl,E fia?
tvl,E o ai te mea nei?
tvl,Se a?
vie,Bàn đăng ký của khách sạn này ở đâu?
vie,Tôi là phiên dịch viên
vie,Ông có dịch lời bài hát không?
vie,Các phiên dịch viên có dùng Tatoeba không?
vie,Dịch thuật rất mệt mỏi.
vie,Tôi được phép tắt đèn không?
vie,Bạn nên tắt điện thoại.
vie,Bạn có thể khóa cửa lại được không?
vie,Họ không đói.
ron,Motivul este destul de simplu.
ron,Nu mănânc niciodată carne.
ron,Ea este foarte tristă.
sgs,Dėdlē diekou!
sgs,Ne.
sgs,Ne!
sgs,Svēks!
sgs,Kāp gīveni?
sgs,Kuoks tava vards?
sgs,"Svēks, kuoks tava vards?"
sgs,Rokounaties anglėškā?
sgs,Rokounaties... anglėškā?
som,Guri waan leeyahay.
som,Noloshaydu waa xuntahay.
som,Waan wanaagsanahay.
som,Ingiriis miyaad ku hadashaa?
som,Waan quruxsanahay.
som,Diidiinka ilko ma leh.
som,Ku soo dhawaada Tatoeba!
som,Ku soo dhawoow Tatoeba!
som,Burj Khalifa waa dhismaha hadda adduunka ugu dheer.
csb,Jô jem dochtór.
csb,"Nji mògã dobrze pò anjelskú, chòcô szesc rokóv jô sã ve szkòli wucził."
csb,Majõ marvë wuszë?
csb,Môsz të kùgel abò blifk?
csb,"Élefanjtë sõ zvjérze, co nji mògõ na kòle jachac."
csb,Nôpevnjé won nje mdze njiżódnéwo sukcesë mjôł.
csb,Jejé zãbë bëłë bjôłé.
csb,Jú vjicé njechc.
csb,Tómkóv tatk sedzi v klúzi.
ell,Αθροιζωμεν συμμαχους εις είναι φιλος.
ell,Το κάπνισμα βλάπτει την υγεία σας.
ell,Μην πηγαίνεις κοντά στον σκύλο.
ell,Είμαι κατάκοπος εκ του δρόμου.
ell,Ψόφησα από την κούραση.
ell,Κι οι δύο γάτες μου ψόφησαν.
ell,Για πόσες μέρες πας στη Μύκονο;
ell,Ευτυχώς ψόφησε αυτό το αρχίδι.
ell,"Αυτό που χρειάζομαι δεν είναι λεφτά, μα η συμβουλή σου."
fao,Hetta er mín telda.
fao,Og nú skal eg siga tær mítt loyndarmál. Tað er sera einfalt: einans við hjartanum kanst tú síggja rætt. Tað avgerandi er ósjónlegt fyri eyganum.
fao,Hann er bøssi.
fao,"Góðan morgin, Mike."
fao,Góða nátt Tatoeba. Vit síggjast í morgin.
fao,Eg eri bestur.
fao,Eg eri best.
fao,"Hvar býrt tú? ""Eg búgvi í Tokyo."""
fao,"Øll hava rætt til vernd av andaligum og evnisligum áhugamálum í sambandi við eitt og hvørt vísindaligt, bókmentaligt ella listarligt verk, sum avvarðandi hevur greitt úr hondum."
fij,Yalo vinaka.
fij,E vica na kena i-sau?
fij,E vei na vale-lailai?
fij,O kemuni mai vei?
fij,"O kemuni mai vei, Karen?"
fij,Sega na lega!
fij,Sega na lega.
fij,Lo.
fij,Lo!
hif,Tehran kahaan hai?
hif,Tumaar naam kaa hai?
hif,Kitnaa daam hai?
hif,Beach kahaan hai?
hif,Bar kahaan hai?
hif,Uu buk kahaan hai?
hif,Rajendra Prasad India ke pahila President rahaa.
hif,India ke capital city New Delhi hai.
hif,New York badaa shahar hai.
krl,Terveh.
krl,"Terveh, Tom."
krl,"Terveh, Chicago!"
krl,Jiägiä tervehekse!
krl,Jiägiä tervehekse.
krl,"Jiägiä tervehekse, Sayoko."
krl,"Jiägiä tervehekse, Ian."
krl,"Jiägiä tervehekse, Tom."
krl,"Jiägiä tervehekse, Anna!"
mvv,Kapoyoh okou ahiubas.
mvv,"Ilai' min ayuk susuit-susuit ondo' mansisiab, kalo mantanom ilo ra sampug kapoam mangkumos am niayuk manimung ra akanon ra gudang, kaa' Ama' min giu' ra suruga' mampaakan risilo! Sala' ka kia maatang kau kaga' intor ra susuit-susuit no?"
mvv,"Kawi nu ulun enanak, abibas ambafahi misal no katalahaan am kono hak, siung nu ulun kondo pikiran am huang. Am masti anukung ra saumi am kono ra fokon yo hino karuruo tampahakka."
mvv,Kaa aun kapandai.
mvv,Nek kal Ɣella.
mvv,Kaansayan!
mvv,Kabar moonsoi.
mvv,"Kaansayan, osoi inggalan mu?"
mvv,Ati intor mu?
spa,Todavía hay asientos vacíos.
bul,Години наред кралят управляваше страната.
bul,"Освен че ще присъства на погребението, тя ще трябва да уреди и всичко останало."
bul,Най-сетне той замина за Америка.
bul,Не трябва да казваш онова нещо на родителите си.
bul,Нека след малко да видим какво е положението.
bul,Искам да поговоря със съпругата ви.
bul,Това е най- интерената исторая която съм чел някога.
bul,"Някога като имате време, ще се радвам ако хвърлите един поглед."
bul,Всяка сутрин пресичам жп линията.
ceb,Milabaw ang akong gugma sa kayugot niya.
ceb,Nagpalabaw sila sa hambog.
ceb,Way makalabaw sa akong kahingatag. Pero ihatag ko lang kay hambugero.
ceb,Ang mga ba-o kay walay ngipon.
ceb,Ambot lang.
ceb,"Dili siya makabuyag, mahitabo dayon, kay lala ug dila."
ceb,Wala siya makig-ilaila ni Duterte.
ceb,Wala akong asawa moila sa akong kinaadman.
ceb,Nagpampam lang si Rosi kay gusto siya ug kwartang sayon.
haw,ʻElua aʻu pōpoki.
haw,Maka ka palaoa.
haw,ʻAʻole maka ka palaoa.
haw,He wahine au.
haw,He kaikamahine au.
haw,He kāne mea wahine au.
haw,He kanaka au.
haw,He pōpoki au.
haw,Noho au ma Honolulu.
kam,Ũvoo!
kam,Niniendete ngiti.
kam,Ngiti nisyiukuma.
kam,Mbaka nikwataa mbia.
kam,Mbaka hĩĩ nĩ yakwa.
kam,Huu niw'o usi wa katatu munene nduniani.
kam,Tom niwe munene waku.
kam,Nuthambisye ngali?
kam,Mwaitu atũmie valũa hũũ kwacha.
kpv,Видза колян.
kpv,Видза колянныд.
kpv,Аддзысьлытӧдз.
kpv,Став бурсӧ!
kpv,Бур туй!
kpv,Пӧжалуйста.
kpv,Аттьӧ тіянлы.
kpv,Аскиӧдз!
kpv,Нимкодь тӧдмасьны.
min,Iko babeda.
min,Esperanto tu agak mirip jo italia.
min,Tom baranti untuak mamakai sapatunyo.
min,Tom masih mudo dan polos.
min,Awak maagiah inyo bungo.
min,Dima si Marika kini?
min,Tingga samo gaek nyo juo si Marika?
min,Tingga jo gaek nyo juo Marika?
min,Awak ka pai bulan muko.
moh,Nahó:ten iesá:iats?
moh,Nahó:ten' kí:ken?
moh,Nahó:ten' kí:ken? Kà:sere kí:ken.
moh,Senón:we's kenh?
moh,Sá:ien kenh kà:sere?
moh,Wahsahtsóhare' kenh?
moh,Wahsatenawiróhare' kenh?
moh,Katonhkária'ks!
moh,Ka'nón:we nihsí:teron?
non,"Faþer vár es ert í himenríki, verði nafn þitt hæilagt. Til kome ríke þitt, værði vili þin sva a iarðu sem í himnum. Gef oss í dag brauð vort dagligt. Ok fyr gefþu oss synþer órar, sem vér fyr gefom þeim er viþ oss hafa misgert. Leiðd oss eigi í freistni, heldr leys þv oss frá ǫllu illu."
non,Hundrinn deyr.
non,Hundrinn er hvítr.
non,Hundrinn er snjallr.
non,Ek heiti Tomr.
non,Ek em.
non,Ek køm.
rom,Keci ďivesa hin andro kurko?
rom,The bango kašt del učhal.
rom,"Sar tuke lačhareha o hadžos, avka soveha."
rom,Bije buťi nane marikľi.
rom,Naj man jekh phral numa si man duj pheja.
rom,Bešes korkořo?
rom,Bešav korkoři.
rom,Bešav muře phurensa.
sna,Kamba hadzina mazino.
sna,Burj Khalifa ndicho chivakwa chihombe pasirose.
sna,Ndichamugochera nyama.
sna,Ndichagocha nyama.
sna,Anoda nyama.
sna,Anoda dovi.
sna,Ndichagadzira dovi.
sna,Ndichamugadzirira dovi.
sna,Tichavatengera parafini.
tgl,"Siya'y mahirap, pero wala siyang pakialam sa pera."
tgl,Ang pulis ay nagpoprotekta sa testigo.
tgl,Huwag paghaluin ang negosyo na may kasiyahan.
tgl,Paano kung talagang alam na niya ang lahat ng bagay?
tgl,Hanggang tatlong kilometro ang papunta doon.
tgl,Naghingi siya ng maraming pera.
tgl,Nagtitinapay at kape si Juan sa kusina.
tgl,Nagkekeso at tinapay si Jenny sa kusina.
tgl,Nagmamantikilya sa tinapay si Quincy.
tso,Tintanghu ti kwihi?
tso,Hi mina Tom.
tso,Vito ra wena u mani?
non,Em ek svangr.
non,Ek vinn.
toki,ni li pona tawa mi: mi utala toki ala tawa jan Ton.
afb,شخبارك؟
afb,شخبارج؟
afb,شو اسمك؟
afb,شو هذا؟
afb,توم مش كبير في السنّ.
afb,أي ساعة؟
afb,المحاولة شيء جميل حقآ
afb,انا ذاهب الى المدرسة
afb,انا ذاهب الى المعمل
hye,Հիվանդանոց կգնամ։
hye,Թեյարանն ունի կանաչ սեղաններ։
hye,"մեկ, երկու, երեք, չորս, հինգ, վեց, յոթ, ութ, ինն, տասն։"
hye,Կրիաներն ատամներ չունեն:
hye,Թոմը շատ ինքնամփոփ մարդ է:
hye,Եկեք փորձենք:
hye,Դաշտի տերերը հաղթեցին:
hye,"Սա հյուրանոց է, այլ ոչ թե հասարակաց տուն:"
hye,Արի երկար-բարակ չխոսենք ու գործի անցնենք:
iba,Aku sayau ka nuan.
iba,"Apai kami di serega, kudus mih nama nuan, datai mih perintah nuan, jadi peneka nuan, baka ka dalam serega bakanya dalam bumi. Meri ka kami pengidup tiap ari. Ampunka penyalah kami, baka ka kami ti ngampunka urang ti salah ngelaban kami. Intu kami ari penguji, lepas ke kami ari penyai. Laban nuan ti bempu perintah,enggau kuasa enggau mulia. Dataika belama - lama iya. Amin."
iba,"Peda kita burung. Sida nadai betanamka utai, nadai ngetau, tauka besimpanka utai dalam setor, tang taja pia, Apai kita ti di serega nupi sida! Kati kita enda berega agi ari burung?"
iba,Nama berita nuan?
iba,Sapa nama nuan?
iba,Berapa rega utai tu?
iba,Selamat datai!
iba,Ari ni penatai nuan?
iba,Semua urang diadai bebas enggau samarata ari segi pemulia enggau hak-hak. Sida empu pemikiran enggau perasaan ati enggau mesti bertindak antara siti enggau bukai dalam semangat persaudaraan.
khm,សូម​អត់​ទោស​ដល់​អ្នក​ទាំង​នេះ​ផង ដ្បិត​គេ​មិន​ដឹង​ជា​គេ​ធ្វើ​អ្វី​ទេ ។
khm,ជឿមិនជឿស្អីចិត្ត។
khm,នេះជាប្រភេទការងារដែលខ្ញុំពេញចិត្តបំផុត។
khm,គ្មានតអី្វទេ។
khm,ទំនុកទុកចិត្ត វាពិបាកកសាង តែងាយស្រួលបំផ្លាញ។
khm,លីលានជា គឺជា​តារា​ភាពយន្ត​ចិន ។
khm,អា៎នេះពិបាក។
khm,ថម អត់បារម្ភរឿងចំណាត់ថ្នាក់គាត់ទេ។
khm,ថម អត់ខ្វល់អំពីចំណាត់ថ្នាក់គាត់ទេ។
lat,Duas filias habent.
lat,Patris meus est.
lat,Septem filios habet.
lat,Patris amicus est clarus fabulator.
lat,Tres milia passuum distat schola usque domum meam.
lat,Autocinetum est.
lat,Nautica pyxis ad septentriones ostendit.
lat,Is bonus magister erit.
lat,Pulchram filiam habet.
lfn,Un otra mundo es posible.
lfn,Ун отра мундо ес посибле.
lfn,Me ave un peten lenial.
lfn,Ме аве ун петен лениал.
lfn,Libri Filastin!
lfn,Либри Филастин!
lfn,Cuanto dies on ave en la semana?
lfn,Куанто диес он аве ен ла семана?
lfn,Cuanto dies la semana ave?
ltz,D'Burj Khalifa ass derzeit den héchste Wollkekrazer vun der Welt.
ltz,Stell d'Këscht hei an den Eck!
ltz,Hues du mäi Mail scho kritt?
ltz,Nenn mer dräi amerikanesch Presidenten!
ltz,Et sinn Inselen an deem Mier.
amh,በሒሳብ በጣም ጐበዝ ነው።
amh,ባለፈው ሳምንት ከአሜሪካ አንዳንድ ማስታወሻ ላኩለት።
amh,ተቈጥቼ ነበር።
amh,ጤናማ ልጅ ነበርኩ።
amh,ምንም አያውቁም።
amh,የት መብላት ተፈልጋለህ?
amh,በውነት ያስፈራል።
amh,ቶም ብዙ ጊዜ ከውሻው ጋር ይናገራል።
amh,ዘግይቼ እትምሀርት ቤት ምን ጊዜም አልደርስም።
asm,কি কৰি আছা?
asm,মই চিগাৰেট খাব পাৰোঁ নে?
asm,তোমাক মেছেজ এটা দিবলৈ মোক কোৱা হৈছে।
asm,"কেনেকুৱা চলি আছে, ৰঙালাও?"
asm,মই আৰু কাজিয়া লাগিব নোৱাৰোঁ।
asm,সিহঁতে কাজিয়াটো শেষ হোৱা বিচাৰিছে।
asm,মোৰ কোনো সঁচা পছন্দ নাই।
asm,১৯৫৭চনত ছোভিয়েট ইউনিয়নে লাইকা নামৰ এজনী কুকুৰক মহাকাশলৈ পঠাইছিলে।
asm,তুমি সদায় পঢ়িব লাগিব।
bho,तेहरान कहां ह?
bho,हमरा का?
bho,अमेरिका में अंग्रेजी बोलल जाले।
bho,मेक्सिको में स्पैनिश बोलल जाले।
bho,फ्रांस में फ्रेंच बोलल जाले।
bho,सिंगापूर में अंग्रेजी बोलल जाले।
bho,आस्ट्रेलिया में अंग्रेजी बोलल जाले।
bho,काटालान आन्डोर्रा में बोलल जाले।
bho,नाशी भाषा चीन में बोलल जाले।
ina,"Januario, februario, martio, april, maio, junio, julio, augusto, septembre, octobre, novembre e decembre es le dece-duo menses del anno."
ina,"Le quatro stationes del anno es primavera, estate, autumno e hiberno."
ina,Uno non debe facer le mal pro attinger le ben.
ina,Toto lo que vermente me pertine io porta con me.
ina,Necun homine honeste subito deveni ric.
ina,Il non es bon que le homine vive sol.
ina,"Tote illes qui prende le gladio, per le gladio illes perira."
ina,"Tote illes qui vulnera con le gladio, per le gladio illes perira."
ina,Io solmente sape que io sape nihil.
mya,ဘ၀ ဆိုတာ ဘာလဲ
mya,ကျွန်တော်တို့ အိမ် ဘာဖြစ်လို့ မရှိဘူးလဲ။
mya,အဲဒါက မင်းထင်သလောက်လည်း ကြောက်စရာမကောင်းပါဘူး
mya,မျောက်တွေက ငှက်ပျောသီးကြိုက်ကြတယ်။
mya,တွမ် ငှက်ပျောသီးကြိုက်တယ်။
mya,မေရီလည်း ငှက်ပျောသီးကြိုက်တယ်။
mya,အဲဒါက မင်းထင်သလောက် ကြောက်စရာမကောင်းပါဘူး။
mya,မင်းဥယျာဉ်ထဲက နှင်းဆီပန်းတွေ ဘယ်တော့ပွင့်မှာလဲ
mya,မင်းဥယျဉ်ထဲက နှင်းဆီပန်းတွေ ဘယ်တော့ပွင့်မှာလဲ
oci,Li demandèt ont viviá.
oci,Mos fraires avián uèi de convidats.
oci,Tòm vòl que l’ajudi.
oci,Lo faguèri pas solèt.
oci,Aquò’s nòstre.
oci,En vòli mai.
oci,Veni d’acabar d’escriure la letra.
oci,"Vaqui moun secrèt. Es proun simple: se vèi bèn qu'emé lou cor, l'essenciau noun se pòu vèire emé lis uei."
oci,Vai te'n cagar!
srd,Custa est mea sorre
srd,Tue s’arena mia. Deo sa unda tua. Su suore est mare pro nois.
srd,Su pugione est in su chelu.
srd,Bene bènnidos a Tatoeba!
srd,Bene bènnidas a Tatoeba!
srd,Bene bènnidu a Tatoeba!
srd,Bene bènnida a Tatoeba!
srd,Benènnidos a Tatoeba!
srd,Benènnidas a Tatoeba!
tpw,Pá.
tpw,Eẽ.
tpw,Hẽ!
tpw,E-kûãî!
cbk,Ta usa tu mga aretes caro.
cbk,Un masajista yo.
cbk,Ya esribi le cunel palabra.
cbk,Ya cindí un candela si Cecil.
cbk,Ya dejá yo de mío llave junto na de mío pitácâ.
cbk,Ya visitá yo cun Nara.
cbk,No quiere yo man cuento sobre de mio hijo.
cbk,Hindé yo ta ablá que andá tu solo solo.
cbk,"Masquín cosa tu ablá, ay hindé yo cambiá de mio pensamiento."
enm,"Denove, saluton."
enm,"Oure fadir þat art in heuenes, halwid be þi name."
enm,Min sword is min lif.
enm,"Oon, two, thré, fowre, five, syxe, sevene, eighte, nyne, ten."
enm,In the bigynnyng God made of nouȝt hevene and erthe.
enm,"Oure fadir that art in hevenes, halewid be thi name; thi kyngdoom come to; be thi wille don, in erthe as in hevene. Ȝyve to us this dai oure breed over othir substaunce, and forȝyve to us oure dettis, as we forȝyven to oure dettouris; and lede us not in to temptacioun, but delyvere vs fro yvel. Amen."
enm,At nyght was come into that hostelrye wel nyne and twenty in a compaignye.
enm,Me thynketh it acordaunt to resoun.
enm,"A knyght ther was, and that a worthy man."
hak,你朝晨頭食麼个？
hak,食飽吂？
hak,我愛爾。
kxi,Mabuliyan ku buk itu.
lit,Aš nemėgstu varnų karksėjimo.
lit,Danguje skraido dvi varnos.
lit,Kieno šis dviratis?
lit,Jie slaptai susituokė.
lit,Jie susituokė.
lit,Tomas ir Merė susituokė.
lit,Vėl?
lit,Vėl lija!
lit,Vėl tu?
pam,Maragul ya!
pam,Inumán me ing panúlu.
pam,Iní ing tútukî!
pam,Núkarín ka mintá?
pam,Núkarín ya makátuknáng i Tom?
pam,"Salámat king páyu, Tom."
pam,Salámat king kékang pamálak.
pam,Sabyán mu kang Tom papuntá ne i Mary.
pam,Abáyan me i Tom kéning kwártu.
pus,د خلیفه برج د نړۍ تر ټولو هسکه ودانۍ ده.
pus,لنده دا چه مسافر او مېلمه فرق سره لری.
pus,لکه چه ته هم غواړې چه تریسا ته یې واخلې.
pus,ښایی چه د یو بل مخ یې هیڅ نه وی لیدلی.
pus,زه شاګرد يم.
pus,ښې چارې!
pus,څنگه يې؟
pus,ستا نون څه؟
pus,تشناب چ ېرې دي؟
sqi,"E la pirg e vrau, e la thes në tokë."
sqi,Pse nuk vjen në shtëpinë time të luash në piano?
sqi,Pse nuk vjen në shtëpinë time të luash pianon?
sqi,Tomi arriti herët këtë mëngjes.
sqi,Paraja flet.
sqi,"Biftek, ju lutem."
sqi,"Biftek, të lutem."
sqi,Provove.
sqi,Dua të di ku ke qenë.
tah,Haere tatou!
tah,Manuia!
tah,Ia ora na!
tah,E aha tō 'oe huru?
tah,Maita'i roa!
tah,Māuruuru!
tah,Māuruuru roa!
tah,E!
tah,E'ita!
tzl,Téu 25 ars.
tzl,Téu 45 ars.
tzl,¡Bun-escasença!
tzl,¡Azul!
tzl,¡Encantat!
tzl,¡Díeu t'alegra!
tzl,Üc.
tzl,¡Üc!
bcl,Maugmang Panggarabusang Aldaw nin kababaehan!
bcl,Dagos tabì sa Tatoeba!
bcl,Bikolano ako.
bcl,Maboot ako.
ewe,Klowo metoa aɖuwo o.
ewe,Aɖaŋuɖemɔ la le yeye.
ewe,Ðe wo sesena nawo be nase nusi nyɔnuwo kple ɖeviwo gblɔa na woa?
ewe,Na be mia nye hɔ nyuitɔwo xeyi mavɔme.
ewe,Ðoɖui ɖito si le teƒe gbadza maɖo liƒo siawo dzia ŋɔ nam.
ewe,Amedzro ɖeɖe ko wo nye nam.
ewe,Wo menya be yapantɔ menye o.
ewe,Esée be naɖe nɔ yeƒe afɔ liam.
ewe,Nukata nyasiawo dzɔna esime nyeme nɔa anyi o ma hã?
gbm,डारा न।
gbm,मि तै तुम पर गर्व च।
gbm,मि तै भूक लगीं च।
gbm,मि तै एक कप कॉफी द्या।
gbm,तैयार व्हे जावा।
gbm,जरा ठैरी जावा।
gbm,वापिस आ जावा।
gbm,इनै आवा।
gbm,इनै आवा!
isl,Heilbrigð sál í hraustum líkama.
isl,Mörg hér um bil sjö þúsund tungumála heimsins eru einungis töluð af örfáum manneskjum og eru í útrýmingarhættu.
isl,Mörg hér um bil sjö þúsund tungumála heimsins eru einungis töluð af örfáum hræðum og eru í útrýmingarhættu.
isl,Vertu blessaður.
isl,Vertu blessuð.
isl,Verið þið blessuð.
isl,Bless í bili.
isl,Allavegana.
isl,Alla vegana.
mah,Ej ṃõḷo.
mah,Ej ṃõñā.
mah,Ej rit.
mah,Enaj ṃõkaj.
mah,Ear etal.
mah,Ej eṃṃan.
mah,Ej bwil.
mah,Ij itok jen Amedika.
mah,Ij riit.
mnw,တင္ဂုဏ္ရ က ေပါတ္ ကု္ တဲ ေကာန္ အဲ ဂွ္။
mnw,အဲ အာ ဘာ မ ဂြံ ဗ ေတာန္ လိက္ ရ။
mnw,အဲ သိုက္ ေတွ္ ကု္ မာန္ ရ။ ဟြံ သိုက္တုဲ ဟြံကု္မာန္ ရ။
mnw,"တင္ဂုဏ္ရ။ ""ဂြံမံင္ရ။"""
mnw,အာမံင္အလု ံ္ေရာ၊ အပါ။
mnw,ဂြံဆုၤ ္ဗုီဏအ္ဂွ္ မိပ္ေကြံေကြံရ။ မံင္စမိပ္မံင္ရဟာ။
mnw,အဲမိက္ဂြံေဗၱာန္။
mnw,ေဗွ္မုပမံင္ေရာ။
mnw,အဲဗျဵုပုၚ်ကွေံ၊ အဲဟွံဂွံစပုၚ်ဏီပုဟ်။
ngu,Nejua nitlacuaznequi cuanacatl.
ngu,Tejua tichanti huejca.
ngu,Nejua nimachti nosihuaconeu quen tlacuijlos.
ngu,Nejua niquincajua noconehuan pampa xnechtlacamati.
ngu,Nejua niaz nicpalehuiz notajtzin can tequititica.
ngu,Tejua otichiu amo cuajli.
ngu,"Tejua titlatzotzona motlatzotzotzin, chica?"
ngu,"Amo tiquelnamiqui, Xqueman niquelcahuaz."
ngu,Tejua tipaqui ihuan motequiu nican ipan tequicajli?
pes,من خیلی آسان به گریه کردن می‌افتم.
pes,او یک خوره کتاب (عاشق کتاب) است.
pes,تو یک خوره کتاب هستی.
pes,جودی به من خندید.
pes,در موقعیتی نیستم که به تو کمک کنم.
pes,در وضعیتی نیستم که احساساتم را بیان کنم.
pes,تو تصمیم می گیری، که آیا ما به آنجا برویم یا نه.
pes,به هر اندازه که نیاز دارید به شما وقت خواهم داد.
pes,اهل کجای کانادا هستی؟
rue,"Мэри вернула мне все деньги, которые была мне должна."
rue,Можем видзиц винску карту?
rue,Джон ше ужерал на слику.
rue,То досц розгнївало Тома.
afh,Kinga yɛ tɛ wu.
afh,Elɛ liɔsopa ta.
afh,Ela liɔsopa tɛ.
afh,? Wurejo fɛna.
afh,? Kurejo fɛna.
afh,? Furejo fɛna.
afh,Kɛ kara.
afh,! Sua harakaa.
afh,! Sua harakalo.
afr,"Dit was 'n vogtige, grou somer dag aan die einde van Junie."
afr,Sy het haarself vermoor.
afr,Sy het selfmoord gepleeg.
afr,Hy het nie jammer vir my gevoel nie.
afr,Die fabriek produseer speelgoed.
afr,Wie besit hierdie lorrie?
afr,Ekskuus tog?!
afr,Verskoon my?!
afr,Blitsvinnig!
ces,Za jakým účelem to potřebujete?
ces,"Kde je Tom, když je ho potřeba?"
ces,"Kde je Tom, když ho potřebuješ?"
ces,Hodiny se zastavily. Potřebujou novou baterii.
ces,"Potřebuješ trochu odvahy říct, že ho miluješ."
ces,Nemusíš napsat víc než 400 slov.
ces,Potřeboval si odpočinout.
ces,Londýn je hlavní město Anglie.
ces,Bern je hlavní město Švýcarska.
hsn,我不晓得。
hsn,你要哦改咯？
hsn,你叫末子名字咯？
hsn,你到哪里克咯？
kaa,Tatoebag'a xosh keldin'!
kaa,Tatoebag'a xosh keldin'iz!
pag,Anto?
pag,Andi!
pag,Masantos ya labi!
pag,Mansasalita kay Ingles?
pag,Anto man?
pag,Antoy ngaran mo?
pag,Anto ya?
pag,Ambetal.
pag,Siopa?
quc,¿La utz awach?
quc,¡Saqarik!
quc,¡Maltyox!
quc,¿Jawje’?
quc,¿Jasche?
quc,¿A utz uwach ri anan?
quc,¿A utz uwach ri atat?
sag,Singîla !
sag,Ïrï tî mbï Tom.
sag,Nzàrà à sârà mbï !
sag,Wâ à sârà mbï.
sag,Ïrï tî mo nyen ?
sag,Balaô!
sag,Nzönî gango na Tätôëbäa!
sag,Mbï yeke kôlï.
tel,సమయం ఎంత అయ్యింది?
tel,నువ్వు ఎప్పుడైనా పారిస్ వెళ్ళావా?
tel,నాకు ఏమీ అవసరంలేదు.
tel,అతడు స్త్రీలాగా వస్త్రాలను ధరించాడు.
tel,దయచేసి ఇంకొంచం కాఫీ ఇవ్వరా.
tel,ఆది ఒక పార్టీ.
tel,అరటిపళ్ళు రుచికరంగా ఉంటాయి.
tel,నేను ఈదటం ఎంతో తొందరగా మొదలుపెడతాను.
tel,నన్ను పలకరించినందుకు కృతజ్ఞతలు.
tzl,T'améu.
uzb,Kitoblar qayerda?
uzb,Suv ichaman.
uzb,Sizni tushunmayman.
uzb,O'tgan kecha menga telefon qildingmi?
uzb,Nimaga ishonasan?
uzb,Nimaga ishonasiz?
uzb,Siz mening qushlarimni ko'rmadingizmi?
uzb,Sen mening qushlarimni ko'rmadingmi?
uzb,Mening qushlarimni ko'rmadingizmi?
ara,تستطيع معالجة السرطان اذا أكتشف في المراحل الأولى.
ara,مرض السرطان هو عدو البشريه الأكبر
ara,الفندق الذي نزلنا به مريح جداً.
ara,كان بيل في اليابان.
ara,لنتخيل أننا مخلوقات فضائية.
ara,لنتظاهر بأننا مخلوقات فضائية.
ara,لم أعرف كيف أجيب على سؤاله.
ara,يهاجر البجع من هنا إلى فلوريدا.
ara,اِبقَ هادئاً عند شرح الدرس.
arq,ما نخافش مالرتايل.
arq,نقدر نشرب جغمة مالشراب ديالك؟
